N;GID;Table;Addr;Type;Str;
6;112;COILS;0;BOOL;"DI0 Tach: Allow to work by setpoint"
7;112;COILS;1;BOOL;"DI1 Tach: Allow to work by setpoint"
14;122;COILS;2;BOOL;"DI0 Cntr: Allow to work by setpoint"
15;122;COILS;3;BOOL;"DI1 Cntr: Allow to work by setpoint"
20;14;COILS;4;BOOL;"DI0: Reset all counters"
21;14;COILS;5;BOOL;"DI1: Reset all counters"
26;20;COILS;6;BOOL;"DO0 Norm: Value"
27;20;COILS;7;BOOL;"DO1 Norm: Value"
28;21;COILS;8;BOOL;"DO0 Fast: Value"
29;21;COILS;9;BOOL;"DO1 Fast: Value"
32;23;COILS;10;BOOL;"DO0 PWM: Allow to work"
33;23;COILS;11;BOOL;"DO1 PWM: Allow to work"
62;72;COILS;12;BOOL;LED_USER
63;72;COILS;13;BOOL;SFTY_TIM_RST
64;72;COILS;14;BOOL;WD_TIM_RST
65;80;COILS;15;BOOL;"User Data 0"
66;80;COILS;16;BOOL;"User Data 1"
67;80;COILS;17;BOOL;"User Data 2"
68;80;COILS;18;BOOL;"User Data 3"
69;80;COILS;19;BOOL;"User Data 4"
70;80;COILS;20;BOOL;"User Data 5"
71;80;COILS;21;BOOL;"User Data 6"
72;80;COILS;22;BOOL;"User Data 7"
73;80;COILS;23;BOOL;"User Data 8"
74;80;COILS;24;BOOL;"User Data 9"
75;80;COILS;25;BOOL;"User Data 10"
76;80;COILS;26;BOOL;"User Data 11"
77;80;COILS;27;BOOL;"User Data 12"
78;80;COILS;28;BOOL;"User Data 13"
79;80;COILS;29;BOOL;"User Data 14"
80;80;COILS;30;BOOL;"User Data 15"
81;80;COILS;31;BOOL;"User Data 16"
82;80;COILS;32;BOOL;"User Data 17"
83;80;COILS;33;BOOL;"User Data 18"
84;80;COILS;34;BOOL;"User Data 19"
85;80;COILS;35;BOOL;"User Data 20"
86;80;COILS;36;BOOL;"User Data 21"
87;80;COILS;37;BOOL;"User Data 22"
88;80;COILS;38;BOOL;"User Data 23"
89;80;COILS;39;BOOL;"User Data 24"
90;80;COILS;40;BOOL;"User Data 25"
91;80;COILS;41;BOOL;"User Data 26"
92;80;COILS;42;BOOL;"User Data 27"
93;80;COILS;43;BOOL;"User Data 28"
94;80;COILS;44;BOOL;"User Data 29"
95;80;COILS;45;BOOL;"User Data 30"
96;80;COILS;46;BOOL;"User Data 31"
